,DatasetInternalID,DatasetType,DatasetExternalID,DatasetName,DatasetAgency,DatasetParameter,DatasetParameterCode,DatasetUnits,DatasetDefaultResampling,DatasetDataloader,DatasetHUC8,DatasetLatitude,DatasetLongitude,DatasetElevation,DatasetPORStart,DatasetPOREnd
0,,RESERVOIR,heni,Henrys Lake Dam on Henrys Fork nr. Lake; ID,USBR PN,Inflow,QU,cfs,average,,17040202,44.597222,-111.353611,1973.7878,,
0,,RESERVOIR,limr,LIMA RESV. UPSTREAM OF CLARK CANYON RESV.; MONTANA,USBR GP,Inflow,IN,cfs,average,,10020001,44.65611,-112.37056,2000.7765,,
0,,RESERVOIR,bfr,BELLE FOURCHE RESERVOIR NR BELLE FOURCHE; S. DAKOTA,USBR GP,Inflow,IN,cfs,average,,10120202,44.73667,-103.67416,895.58588,,
0,,RESERVOIR,hebr,HEBGEN LAKE NEAR WEST YELLOWSTONE; MONTANA,USBR GP,Inflow,IN,cfs,average,,10020007,44.86417,-111.33584,1988.8553,,
0,,RESERVOIR,payi,Payette Lake at McCall; ID,USBR PN,Inflow,QU,cfs,average,,17050123,44.91222222,-116.1191667,1521.0696,,
0,,RESERVOIR,ccr,CLARK CANYON RESERVOIR; BEAVERHEAD RVR NR DILLON; MT,USBR GP,Inflow,IN,cfs,average,,10020002,45.00167,-112.8575,1665.0862,,
0,,RESERVOIR,thf,Thief Valley Dam and Reservoir near North Powder; OR,USBR PN,Inflow,ID,cfs,average,,17050203,45.0054,-117.7816281,943.70404,,
0,,RESERVOIR,bhr,BIGHORN LAKE; MONTANA,USBR GP,Inflow,IN,cfs,average,,10080010,45.30722,-107.95694,1110.257,,
0,,RESERVOIR,scoo,Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,USBR PN,Inflow,QU,cfs,average,,17090010,45.4716,-123.2002,72.062508,,
0,,RESERVOIR,mcko,McKay Reservoir near Pendleton; OR,USBR PN,Inflow,QU,cfs,average,,17070103,45.60773462,-118.7926423,398.28696,,
0,,RESERVOIR,shr,SHADEHILL RESERVOIR ON THE GRAND RIVER; SOUTH DAKOTA,USBR GP,Inflow,IN,cfs,average,,10130303,45.75333,-102.20333,707.76794,,
0,,RESERVOIR,sol,Soldiers Meadow Reservoir; ID,USBR PN,Inflow,QU,cfs,average,,17060306,46.1675,-116.7358,1379.5542,,
0,,RESERVOIR,ltr,LAKE TSCHIDA (HEART BUTTE); NORTH DAKOTA,USBR GP,Inflow,IN,cfs,average,,10130203,46.59666,-101.80945,619.96069,,
0,,RESERVOIR,cfr,CANYON FERRY LAKE NEAR HELENA; MONTANA,USBR GP,Inflow,IN,cfs,average,,10030101,46.64917,-111.7275,1125.95,,
0,,RESERVOIR,rim,"Rimrock Reservoir, Tieton River and Weather Station; WA",USBR PN,Inflow,QU,cfs,average,,17030002,46.6565,-121.1288,892.13037,,
0,,RESERVOIR,bum,Bumping Reservoir River and Weather Station; WA,USBR PN,Inflow,QU,cfs,average,,17030002,46.86909999,-121.3003,1045.7416,,
0,,RESERVOIR,eapr,E.A. PATTERSON LAKE (DICKINSON); NORTH DAKOTA,USBR GP,Inflow,IN,cfs,average,,10130202,46.86972,-102.82694,733.2254,,
0,,RESERVOIR,jamr,JAMESTOWN RESERVOIR; NORTH DAKOTA,USBR GP,Inflow,IN,cfs,average,,10160001,46.93056,-98.70638,443.77127,,
0,,RESERVOIR,pist,PIPESTEM DAM; NORTH DAKOTA,USBR GP,Inflow,IN,cfs,average,,10160002,46.95639,-98.75278,428.56372,,
0,,RESERVOIR,cle,"Cle Elum Reservoir, River and Weather Station; WA",USBR PN,Inflow,QU,cfs,average,,17030001,47.24546505,-121.0738819,682.71997,,
0,,RESERVOIR,kac,"Kachess Reservoir, River and Weather Station; WA",USBR PN,Inflow,QU,cfs,average,,17030001,47.2645,-121.2057,690.70294,,
0,,RESERVOIR,kee,Keechelus Reservoir-Yak at Martin and Weather Sta.; WA,USBR PN,Inflow,QU,cfs,average,,17030001,47.32219999,-121.3392,769.63208,,
0,,RESERVOIR,wcr,WILLOW CREEK RESERVOIR; 6 MILES NW AUGUSTA; MONTANA,USBR GP,Inflow,IN,cfs,average,,10030104,47.54667,-112.42916,1263.3027,,
0,,RESERVOIR,gibr,GIBSON RESERVOIR; MONTANA,USBR GP,Inflow,IN,cfs,average,,10030104,47.60083,-112.76167,1441.4302,,
0,,RESERVOIR,pshr,PISHKUN RESERVOIR NEAR AUGUSTA; MONTANA,USBR GP,Inflow,IN,cfs,average,,10030104,47.67667,-112.49667,1333.025,,
0,,RESERVOIR,gcl,Grand Coulee Dam; WA,USBR PN,Inflow,ID,cfs,average,,17020001,47.95,-118.9833333,391.16406,,
0,,RESERVOIR,swtr,SWIFT RESERVOIR; BIRCH CREEK; MONTANA,USBR GP,Inflow,IN,cfs,average,,10030201,48.15,-112.86667,1595.0939,,
0,,RESERVOIR,ler,LAKE ELWELL SPILLWAY TRANSDUCER; MONTANA,USBR GP,Inflow,IN,cfs,average,,10030203,48.31833,-111.09084,863.65698,,
0,,RESERVOIR,nelr,NELSON RESERVOIR AT DAM 10 MILES NW OF SACO; MT,USBR GP,Inflow,IN,cfs,average,,10050004,48.52972,-107.51862,680.39301,,
0,,RESERVOIR,frr,FRESNO RESERVOIR NEAR HAVRE; MONTANA,USBR GP,Inflow,IN,cfs,average,,10050002,48.60833,-109.94583,802.09521,,
0,,RESERVOIR,sher,LAKE SHERBURNE; SWIFT CURRENT CREEK NEAR BABB; MT,USBR GP,Inflow,IN,cfs,average,,10010002,48.82833,-113.52112,1462.1823,,
0,,RESERVOIR,hghm,HUNGRY HORSE RESERVOIR,USBR PN,Inflow,QU,cfs,average,,17010209,48.341322,-114.01362,3040.0,,
