Datetime,Badger Pass: Snow Water Equivalent,Mount Lockhart: Snow Water Equivalent,GIBSON RESERVOIR; MONTANA: Inflow,Badger Pass: Precipitation,Mount Lockhart: Precipitation
1984-04-24,25.6,13.1,788.0,0.1,0.0
1984-04-25,26.5,13.1,737.0,0.9,1.2
1984-04-26,27.6,14.3,383.0,0.7,0.6
1984-04-27,27.9,14.9,526.0,0.0,0.0
1984-04-28,27.7,14.9,471.0,0.2,0.2
1984-04-29,27.6,15.0,519.0,0.0,0.0
1984-04-30,27.5,15.0,522.0,0.0,0.3
1984-05-01,27.4,15.0,424.0,0.0,0.0
1984-05-02,27.3,15.2,425.0,0.1,0.0
1984-05-03,27.6,15.2,479.0,0.5,0.0
1984-05-04,27.7,15.3,427.0,0.0,0.0
1984-05-05,27.7,15.4,376.0,0.0,0.0
1984-05-06,27.7,15.4,376.0,0.3,0.2
1984-05-07,28.0,15.4,431.0,0.1,0.0
1984-05-08,28.1,15.4,378.0,0.2,0.2
1984-05-09,27.9,15.4,432.0,0.1,0.0
1984-05-10,27.7,15.1,488.0,0.1,0.0
1984-05-11,27.6,15.0,545.0,0.2,0.3
1984-05-12,27.5,14.9,548.0,0.0,0.0
1984-05-13,27.2,14.5,717.0,0.0,0.0
1984-05-14,26.4,14.0,1046.0,0.3,0.3
1984-05-15,25.2,13.5,1850.0,0.2,0.2
1984-05-16,24.5,13.1,2776.0,0.1,0.0
1984-05-17,26.2,12.8,2504.0,0.0,0.2
1984-05-18,25.3,12.4,1841.0,0.0,0.0
1984-05-19,24.9,11.9,1736.0,0.3,0.3
1984-05-20,24.2,11.3,1933.0,0.2,0.0
1984-05-21,24.1,10.9,2797.0,0.1,0.2
1984-05-22,23.9,10.7,2228.0,0.0,0.0
1984-05-23,23.7,10.2,1649.0,0.4,0.5
1984-05-24,23.5,10.0,1840.0,0.1,0.1
1984-05-25,23.4,9.7,1596.0,0.0,0.0
1984-05-26,23.3,9.4,1410.0,0.3,0.2
1984-05-27,23.2,9.1,1410.0,0.1,0.0
1984-05-28,22.6,8.6,1282.0,0.0,0.0
1984-05-29,20.9,7.7,1478.0,0.0,0.0
1984-05-30,19.5,6.5,2055.0,0.4,0.2
1984-05-31,18.6,5.0,3555.0,0.2,0.0
1984-06-01,18.6,4.7,4869.0,0.0,0.0
1984-06-02,18.5,4.2,1504.0,0.0,0.0
1984-06-03,17.9,3.4,2105.0,0.0,0.0
1984-06-04,16.6,2.6,1955.0,0.0,0.1
1984-06-05,15.7,2.0,2115.0,0.0,0.2
1984-06-06,15.3,0.9,1945.0,0.1,0.2
1984-06-07,14.4,0.6,1945.0,0.0,0.0
1984-06-08,13.9,0.2,1815.0,0.1,0.1
1984-06-09,13.8,0.1,1749.0,0.4,0.2
1984-06-10,13.6,0.1,1619.0,0.2,0.1
1984-06-11,13.0,0.1,1691.0,0.6,0.5
1984-06-12,12.4,0.1,2139.0,0.1,0.1
1984-06-13,11.4,0.0,2231.0,0.1,0.0
1984-06-14,10.2,0.0,2306.0,0.0,0.0
1984-06-15,8.2,0.0,2372.0,0.0,0.0
1984-06-16,6.7,0.0,3276.0,0.1,0.0
1984-06-17,5.6,0.0,3051.0,0.0,0.0
1984-06-18,4.4,0.0,2574.0,0.0,0.0
1984-06-19,2.9,0.0,2371.0,0.0,0.0
1984-06-20,1.2,0.0,2810.0,0.4,0.6
1984-06-21,0.3,0.0,2409.0,1.0,0.9
1984-06-22,0.1,0.0,3720.0,0.0,0.0
1984-06-23,0.0,0.0,2600.0,0.0,0.1
1984-06-24,0.0,0.0,2295.0,0.0,0.0
1984-06-25,0.0,0.0,2230.0,0.0,0.0
1984-06-26,0.0,0.0,2296.0,0.0,0.0
1984-06-27,0.0,0.0,2290.0,0.0,0.0
1984-06-28,0.0,0.0,2166.0,0.0,0.0
1984-06-29,0.0,0.0,1999.0,0.2,0.0
1984-06-30,0.0,0.0,1694.0,0.0,0.0
1984-07-01,0.0,0.0,1660.0,0.0,0.0
1984-07-02,0.0,0.0,1354.0,0.0,0.0
1984-07-03,0.0,0.0,1418.0,0.0,0.0
1984-07-04,0.0,0.0,1109.0,0.0,0.0
1984-07-05,0.0,0.0,1304.0,0.0,0.0
1984-07-06,0.0,0.0,1107.0,0.0,0.0
1984-07-07,0.0,0.0,980.0,0.0,0.0
1984-07-08,0.0,0.0,1046.0,0.0,0.0
1984-07-09,0.0,0.0,916.0,0.0,0.0
1984-07-10,0.0,0.0,983.0,0.0,0.0
1984-07-11,0.0,0.0,859.0,0.0,0.0
1984-07-12,0.0,0.0,863.0,0.0,0.0
1984-07-13,0.0,0.0,799.0,0.0,0.0
1984-07-14,0.0,0.0,752.0,0.0,0.0
1984-07-15,0.0,0.0,629.0,0.0,0.0
1984-07-16,0.0,0.0,776.0,0.0,0.0
1984-07-17,0.0,0.0,620.0,0.0,0.0
1984-07-18,0.0,0.0,683.0,0.0,0.0
1984-07-19,0.0,0.0,710.0,0.0,0.0
1984-07-20,0.0,0.0,685.0,0.0,0.0
1984-07-21,0.0,0.0,587.0,0.0,0.0
1984-07-22,0.0,0.0,592.0,0.0,0.0
1984-07-23,0.0,0.0,709.0,0.0,0.0
1984-07-24,0.0,0.0,609.0,0.0,0.0
1984-07-25,0.0,0.0,479.0,0.0,0.0
1984-07-26,0.0,0.0,441.0,0.0,0.0
1984-07-27,0.0,0.0,406.0,0.0,0.0
1984-07-28,0.0,0.0,413.0,0.4,0.4
1984-07-29,0.0,0.0,711.0,0.2,0.2
1984-07-30,0.0,0.0,664.0,0.0,0.0
1984-07-31,0.0,0.0,596.0,0.2,0.2
1984-08-01,0.0,0.0,490.0,0.1,0.5
1984-08-02,0.0,0.0,572.0,0.0,0.0
1984-08-03,0.0,0.0,499.0,0.1,0.0
1984-08-04,0.0,0.0,494.0,0.0,0.1
1984-08-05,0.0,0.0,468.0,0.4,0.1
1984-08-06,0.0,0.0,400.0,0.0,0.0
1984-08-07,0.0,0.0,420.0,0.0,0.0
1984-08-08,0.0,0.0,401.0,0.0,0.1
1984-08-09,0.0,0.0,362.0,0.0,0.0
1984-08-10,0.0,0.0,251.0,0.0,0.0
1984-08-11,0.0,0.0,320.0,0.0,0.1
1984-08-12,0.0,0.0,375.0,0.0,0.0
1984-08-13,0.0,0.0,593.0,0.0,0.0
1984-08-14,0.0,0.0,341.0,0.0,0.0
1984-08-15,0.0,0.0,387.0,0.0,0.0
1984-08-16,0.0,0.0,258.0,0.0,0.0
1984-08-17,0.0,0.0,393.0,0.0,0.1
1984-08-18,0.0,0.0,295.0,0.0,0.0
1984-08-19,0.0,0.0,325.0,0.0,0.0
1984-08-20,0.0,0.0,393.0,0.0,0.0
1984-08-21,0.0,0.0,318.0,0.0,0.0
1984-08-22,0.0,0.0,288.0,0.0,0.3
1984-08-23,0.0,0.0,315.0,0.0,0.0
1984-08-24,0.0,0.0,377.0,0.0,0.0
1984-08-25,0.0,0.0,252.0,0.0,0.0
1984-08-26,0.0,0.0,355.0,0.0,0.0
1984-08-27,0.0,0.0,245.0,0.0,0.0
1984-08-28,0.0,0.0,321.0,0.0,0.2
1984-08-29,0.0,0.0,162.0,0.0,0.0
1984-08-30,0.0,0.0,251.0,0.0,0.1
1984-08-31,0.0,0.0,268.0,0.2,0.9
1984-09-01,0.0,0.0,401.0,0.3,0.2
1984-09-02,0.0,0.0,315.0,0.0,0.0
1984-09-03,0.0,0.0,304.0,0.0,0.0
1984-09-04,0.0,0.0,119.0,0.0,0.0
1984-09-05,0.0,0.0,257.0,0.2,0.0
1984-09-06,0.1,0.0,213.0,0.6,0.4
1984-09-07,0.6,0.0,290.0,0.7,0.4
1984-09-08,0.2,0.0,553.0,0.2,0.0
1984-09-09,0.1,0.0,325.0,0.4,0.1
1984-09-10,0.1,0.0,419.0,0.0,0.3
1984-09-11,0.1,0.0,354.0,0.1,0.0
1984-09-12,0.1,0.0,350.0,0.1,0.0
1984-09-13,0.0,0.0,227.0,0.0,0.0
1984-09-14,0.0,0.0,93.0,0.0,0.0
1984-09-15,0.0,0.0,299.0,0.0,0.0
1984-09-16,0.0,0.0,293.0,0.0,0.0
1984-09-17,0.0,0.0,270.0,0.1,0.0
1984-09-18,0.0,0.0,296.0,0.0,0.0
1984-09-19,0.0,0.0,273.0,0.2,0.0
1984-09-20,0.0,0.0,299.0,0.8,0.4
1984-09-21,0.2,0.0,275.0,0.5,0.7
1984-09-22,1.1,0.2,303.0,1.4,0.7
1984-09-23,2.3,0.6,277.0,0.6,0.4
1984-09-24,2.3,1.0,306.0,0.5,0.0
1984-09-25,2.3,1.0,226.0,0.0,0.2
1984-09-26,2.5,1.0,308.0,0.1,0.2
1984-09-27,2.5,1.1,309.0,0.1,0.1
1984-09-28,2.5,1.1,283.0,0.0,0.0
1984-09-29,2.5,1.1,284.0,0.0,0.0
1984-09-30,2.3,1.1,285.0,0.0,0.0
1984-10-01,2.2,1.5,278.0,0.0,0.0
1984-10-02,1.6,1.0,332.0,0.0,0.0
1984-10-03,0.9,0.8,305.0,0.0,0.0
1984-10-04,0.7,0.7,335.0,0.0,0.0
1984-10-05,0.1,0.5,280.0,0.0,0.0
1984-10-06,0.0,0.3,252.0,0.0,0.0
1984-10-07,0.0,0.1,253.0,0.0,0.0
1984-10-08,0.0,0.0,253.0,0.0,0.0
1984-10-09,0.0,0.0,343.0,0.0,0.0
1984-10-10,0.0,0.0,285.0,0.1,0.0
1984-10-11,0.0,0.0,257.0,0.0,0.0
1984-10-12,0.0,0.0,258.0,0.4,0.3
1984-10-13,0.0,0.1,288.0,1.1,0.8
1984-10-14,0.6,0.4,259.0,0.3,0.0
1984-10-15,0.7,0.5,291.0,0.3,0.2
1984-10-16,1.0,0.8,261.0,0.1,0.0
1984-10-17,1.0,0.8,262.0,0.1,0.6
1984-10-18,1.1,1.1,294.0,0.5,0.0
1984-10-19,1.8,1.1,264.0,0.3,0.1
1984-10-20,1.8,1.2,265.0,0.1,0.1
1984-10-21,1.8,1.2,265.0,0.1,0.0
1984-10-22,1.8,1.2,235.0,0.0,0.0
1984-10-23,1.8,1.2,236.0,0.0,0.0
1984-10-24,1.8,1.2,267.0,0.0,0.4
1984-10-25,1.9,1.5,269.0,0.8,0.4
1984-10-26,2.2,2.0,269.0,0.9,0.8
1984-10-27,2.8,2.5,303.0,0.1,0.1
1984-10-28,3.0,2.6,272.0,0.6,0.6
1984-10-29,4.2,3.0,240.0,0.2,0.4
1984-10-30,4.2,3.3,240.0,1.1,0.7
1984-10-31,5.1,4.0,209.0,0.1,0.1
1984-11-01,5.1,4.0,248.0,0.0,0.0
1984-11-02,5.1,4.2,282.0,0.6,0.5
1984-11-03,5.7,4.7,283.0,0.6,0.2
1984-11-04,6.3,4.9,250.0,0.2,0.4
1984-11-05,6.3,5.1,285.0,0.0,0.0
1984-11-06,6.3,5.1,286.0,0.1,0.0
1984-11-07,6.3,5.1,287.0,0.4,0.1
1984-11-08,7.2,5.2,253.0,0.0,0.1
1984-11-09,7.2,5.2,288.0,0.0,0.0
1984-11-10,7.2,5.2,255.0,0.2,0.2
1984-11-11,7.4,5.4,255.0,0.1,0.0
1984-11-12,7.4,5.5,220.0,0.1,0.0
1984-11-13,7.4,5.5,256.0,0.4,0.2
1984-11-14,7.5,5.8,221.0,0.5,0.2
1984-11-15,8.8,5.9,257.0,0.1,0.1
1984-11-16,8.8,5.9,258.0,0.0,0.0
1984-11-17,8.8,5.9,258.0,0.0,0.0
1984-11-18,8.8,5.9,259.0,0.0,0.0
1984-11-19,8.8,5.9,224.0,0.0,0.0
1984-11-20,9.0,5.9,261.0,0.1,0.1
1984-11-21,9.0,5.9,262.0,0.1,0.1
1984-11-22,9.0,6.0,225.0,0.1,0.0
1984-11-23,9.0,6.0,226.0,0.0,0.0
1984-11-24,9.0,6.0,227.0,0.1,0.0
1984-11-25,9.0,6.0,227.0,0.0,0.0
1984-11-26,9.0,6.0,228.0,0.1,0.1
1984-11-27,9.0,6.0,191.0,0.0,0.3
1984-11-28,9.0,6.2,228.0,0.4,0.1
1984-11-29,9.0,6.4,191.0,0.4,0.1
1984-11-30,9.8,6.5,268.0,0.3,0.4
1984-12-01,10.5,6.8,197.0,0.2,0.2
1984-12-02,10.5,6.9,235.0,0.1,0.0
1984-12-03,10.5,7.0,198.0,0.1,0.0
1984-12-04,10.5,7.0,236.0,0.0,0.0
1984-12-05,10.5,7.0,198.0,0.0,0.0
1984-12-06,10.5,7.0,237.0,0.0,0.0
1984-12-07,10.5,7.0,198.0,0.0,0.0
1984-12-08,10.5,7.0,238.0,0.0,0.0
1984-12-09,10.6,7.1,199.0,0.3,0.6
1984-12-10,11.4,7.6,239.0,0.7,0.2
1984-12-11,12.1,7.8,200.0,0.1,0.1
1984-12-12,12.1,7.9,240.0,0.0,0.0
1984-12-13,12.1,7.9,200.0,0.1,0.0
1984-12-14,12.1,7.9,241.0,0.1,0.1
1984-12-15,12.2,8.0,201.0,0.4,0.3
1984-12-16,12.7,8.1,242.0,0.0,0.2
1984-12-17,12.7,8.2,201.0,0.2,0.1
1984-12-18,12.8,8.3,243.0,0.1,0.0
1984-12-19,12.9,8.3,202.0,0.0,0.0
1984-12-20,12.9,8.4,244.0,0.0,0.0
1984-12-21,12.9,8.4,203.0,0.6,0.3
1984-12-22,13.3,8.9,228.0,1.0,1.1
1984-12-23,14.9,10.2,261.0,0.2,0.8
1984-12-24,15.3,10.5,204.0,0.3,0.1
1984-12-25,15.7,10.7,246.0,0.5,0.2
1984-12-26,16.0,10.9,204.0,0.2,0.1
1984-12-27,16.1,11.1,204.0,0.3,0.6
1984-12-28,16.5,11.4,247.0,0.2,0.3
1984-12-29,16.5,11.8,248.0,0.8,0.9
1984-12-30,17.8,12.4,205.0,0.2,0.0
1984-12-31,18.0,12.7,248.0,0.0,0.1
1985-01-01,18.0,12.8,120.0,0.0,0.0
1985-01-02,18.0,12.8,120.0,0.0,0.1
1985-01-03,18.0,12.8,206.0,0.2,0.0
1985-01-04,18.4,12.8,249.0,0.0,0.0
1985-01-05,18.4,12.9,163.0,0.1,0.0
1985-01-06,19.0,12.9,207.0,0.0,0.0
1985-01-07,19.0,12.9,207.0,0.0,0.0
1985-01-08,19.0,12.9,251.0,0.0,0.0
1985-01-09,19.0,12.9,251.0,0.0,0.0
1985-01-10,19.0,12.9,164.0,0.0,0.0
1985-01-11,19.0,12.9,120.0,0.0,0.0
1985-01-12,19.0,12.9,296.0,0.0,0.0
1985-01-13,19.0,12.9,252.0,0.0,0.0
1985-01-14,19.0,12.9,209.0,0.7,0.0
1985-01-15,19.0,13.1,120.0,0.0,0.0
1985-01-16,19.0,13.1,209.0,0.0,0.0
1985-01-17,19.0,13.1,209.0,0.3,0.0
1985-01-18,19.3,13.1,120.0,0.0,0.1
1985-01-19,19.3,13.2,298.0,0.0,0.1
1985-01-20,19.3,13.3,255.0,0.2,0.0
1985-01-21,19.4,13.3,210.0,0.0,0.0
1985-01-22,19.4,13.3,165.0,0.0,0.0
1985-01-23,19.4,13.3,210.0,0.0,0.0
1985-01-24,19.4,13.3,120.0,0.0,0.0
1985-01-25,19.4,13.3,165.0,0.0,0.0
1985-01-26,19.4,13.3,256.0,0.0,0.0
1985-01-27,19.4,13.3,166.0,0.0,0.0
1985-01-28,19.4,13.3,257.0,0.2,0.0
1985-01-29,19.4,13.3,120.0,0.1,0.3
1985-01-30,19.4,13.4,120.0,0.0,0.0
1985-01-31,19.4,13.4,212.0,0.2,0.0
1985-02-01,19.4,13.4,120.0,0.0,0.1
1985-02-02,19.4,13.4,120.0,0.0,0.0
1985-02-03,19.4,13.4,212.0,0.0,0.0
1985-02-04,19.4,13.4,166.0,0.0,0.0
1985-02-05,19.4,13.4,212.0,0.0,0.0
1985-02-06,19.4,13.5,166.0,0.0,0.2
1985-02-07,19.4,13.7,212.0,0.5,0.5
1985-02-08,19.4,14.0,166.0,0.0,0.1
1985-02-09,19.4,14.2,213.0,0.0,0.0
1985-02-10,19.4,14.4,213.0,0.5,0.5
1985-02-11,19.5,14.8,213.0,0.3,0.5
1985-02-12,19.7,15.2,214.0,0.2,0.0
1985-02-13,20.2,15.3,167.0,0.0,0.0
1985-02-14,21.0,15.3,308.0,0.3,0.2
1985-02-15,21.0,15.4,120.0,0.4,0.0
1985-02-16,21.0,15.4,167.0,0.1,0.0
1985-02-17,21.2,15.4,215.0,0.0,0.0
1985-02-18,21.2,15.4,167.0,0.0,0.0
1985-02-19,21.8,15.4,214.0,0.0,0.0
1985-02-20,21.8,15.4,167.0,0.0,0.0
